Name,Version,Need Pedigree Review,Reason,Review Level,License Types,Declared License,License Status,Path
anymatch,2.0.0,false,Previously pedigree reviewed,2,ISC,ISC,Approved,anymatch
app-module-path,2.2.0,false,Exempt - Expected license matched,3.1,BSD-2-Clause,BSD-2-Clause,Approved,app-module-path
aproba,1.2.0,false,Previously pedigree reviewed,2,ISC,ISC,Approved,aproba
are-we-there-yet,1.1.5,false,Exempt - Version closely related to 1.1.4,2,ISC,ISC,Approved,are-we-there-yet
argparse,1.0.10,false,Exempt - Version closely related to 1.0.7,2,MIT,MIT,Approved,argparse
arr-diff,2.0.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,dustjs-linkedin/node_modules/arr-diff
arr-diff,4.0.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,arr-diff
arr-flatten,1.1.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,arr-flatten
arr-union,3.1.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,arr-union
array-flatten,1.1.1,false,Previously pedigree reviewed,2,MIT,MIT,Approved,@kui-shell/proxy/app/node_modules/array-flatten
array-flatten,2.1.2,false,Exempt - Version closely related to 2.1.1,2,MIT,MIT,Approved,array-flatten
array-union,1.0.2,false,Exempt - Version closely related to 1.0.1,2,MIT,MIT,Approved,array-union
array-uniq,1.0.3,false,Previously pedigree reviewed,2,MIT,MIT,Approved,array-uniq
array-unique,0.2.1,false,Previously pedigree reviewed,2,MIT,MIT,Approved,dustjs-linkedin/node_modules/array-unique
array-unique,0.3.2,false,Previously pedigree reviewed,2,MIT,MIT,Approved,array-unique
asn1,0.2.4,false,Previously pedigree reviewed,2,MIT,MIT,Approved,asn1
asn1.js,4.10.1,false,Previously pedigree reviewed,2,MIT,MIT,Approved,asn1.js
assert,1.5.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,assert
assert-plus,1.0.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,assert-plus
assign-symbols,1.0.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,assign-symbols
async,1.5.2,false,Previously pedigree reviewed,2,MIT,MIT,Approved,async
async,2.6.3,false,Exempt - Version closely related to 2.6.0,2,MIT,MIT,Approved,brotli-webpack-plugin/node_modules/async
async-each,1.0.3,false,Exempt - Version closely related to 1.0.1,2,MIT,MIT,Approved,async-each
async-limiter,1.0.1,false,Exempt - Version closely related to 1.0.0,2,MIT,MIT,Approved,async-limiter
asynckit,0.4.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,asynckit
atob,2.1.2,false,Exempt - Version closely related to 2.1.0,2,Apache-2.0 CC-BY-3.0 KEYWORD MIT UNKNOWN,Apache-2.0,Needs Review | Needs Legal Approval,atob
aws-sign2,0.7.0,false,Previously pedigree reviewed,2,Apache-2.0,Apache-2.0,Approved,aws-sign2
aws4,1.8.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,aws4
axios,0.19.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,axios
balanced-match,1.0.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,balanced-match
base,0.11.2,false,Previously pedigree reviewed,2,MIT,MIT,Approved,base
base64-js,1.3.1,false,Exempt - Version closely related to 1.3.0,2,MIT,MIT,Approved,base64-js
basic-auth,2.0.1,false,Exempt - Version closely related to 2.0.0,2,MIT,MIT,Approved,@kui-shell/proxy/app/node_modules/basic-auth
batch,0.6.1,false,Previously pedigree reviewed,2,MIT,MIT,Approved,batch
bcrypt-pbkdf,1.0.2,false,Exempt - Version closely related to 1.0.0,2,BSD-3-Clause ISC KEYWORD UNKNOWN,BSD-3-Clause,Needs Review,bcrypt-pbkdf
beep-boop,1.2.3,true,New version and not exempt,,,,No license information available,github-from-package/example
big.js,3.2.0,false,Previously pedigree reviewed,2,KEYWORD MIT UNKNOWN,MIT,Needs Review,svg-inline-loader/node_modules/big.js
big.js,5.2.2,false,Previously pedigree reviewed,2,MIT UNKNOWN,MIT,Needs Review,big.js
binary-extensions,1.13.1,false,Previously pedigree reviewed,2,MIT,MIT,Approved,binary-extensions
bl,3.0.0,false,Previously pedigree reviewed,2,MIT UNKNOWN,MIT,Needs Review,bl
bluebird,3.7.1,false,Exempt - Expected license matched,2,MIT,MIT,Approved,bluebird
bn.js,4.11.8,false,Exempt - Version closely related to 4.11.6,2,MIT,MIT,Approved,bn.js
body-parser,1.18.3,false,Previously pedigree reviewed,2,MIT,MIT,Approved,express/node_modules/body-parser
body-parser,1.19.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,@kui-shell/proxy/app/node_modules/body-parser
bonjour,3.5.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,bonjour
brace-expansion,1.1.11,false,Exempt - Version closely related to 1.1.6,2,MIT,MIT,Approved,brace-expansion
braces,1.8.5,false,Exempt - Version closely related to 1.8.3,2,MIT,MIT,Approved,dustjs-linkedin/node_modules/braces
braces,2.3.2,false,Exempt - Version closely related to 2.3.0,2,MIT,MIT,Approved,braces
brorand,1.1.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,brorand
brotli,1.3.2,false,Previously pedigree reviewed,2,Apache-2.0,MIT,Approved,brotli
brotli-webpack-plugin,1.1.0,true,New package and not exempt,,MIT X11,MIT,Approved,brotli-webpack-plugin
browser_field,unknown,true,New package and not exempt,,,,No license information available,resolve/test/resolver/browser_field
browserify-aes,1.2.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,browserify-aes
browserify-cipher,1.0.1,false,Exempt - Version closely related to 1.0.0,2,MIT,MIT,Approved,browserify-cipher
browserify-des,1.0.2,false,Exempt - Version closely related to 1.0.0,2,MIT,MIT,Approved,browserify-des
browserify-rsa,4.0.1,false,Previously pedigree reviewed,2,MIT,MIT,Approved,browserify-rsa
browserify-sign,4.0.4,false,Exempt - Version closely related to 4.0.0,2,ISC,ISC,Approved,browserify-sign
browserify-zlib,0.2.0,false,Previously pedigree reviewed,2,KEYWORD MIT UNKNOWN,MIT,Needs Review,browserify-zlib
buffer,4.9.1,false,Previously pedigree reviewed,2,MIT,MIT,Approved,buffer
buffer-from,1.1.1,false,Exempt - Version closely related to 1.1.0,2,MIT,MIT,Approved,buffer-from
buffer-indexof,1.1.1,false,Previously pedigree reviewed,2,MIT,MIT,Approved,buffer-indexof
buffer-xor,1.0.3,false,Previously pedigree reviewed,2,MIT,MIT,Approved,buffer-xor
builtin-status-codes,3.0.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,builtin-status-codes
bytes,3.0.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,bytes
bytes,3.1.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,@kui-shell/proxy/app/node_modules/bytes
cacache,11.3.3,false,Exempt - Version closely related to 11.3.2,2,ISC,ISC,Approved,cacache
cacache,12.0.3,false,Exempt - Version closely related to 12.0.2,2,ISC,ISC,Approved,terser-webpack-plugin/node_modules/cacache
cache-base,1.0.1,false,Previously pedigree reviewed,2,MIT,MIT,Approved,cache-base
camelcase,2.1.1,false,Previously pedigree reviewed,2,MIT,MIT,Approved,yargs/node_modules/camelcase
camelcase,5.3.1,false,Previously pedigree reviewed,2,MIT,MIT,Approved,camelcase
carbon-components,10.7.2,true,New version and not exempt,,Apache-2.0 KEYWORD OFL-1.1 UNKNOWN,Apache-2.0,Needs Review | Needs Legal Approval,carbon-components
carbon-components-react,7.7.2,true,New version and not exempt,,Apache-2.0,Apache-2.0,Approved,carbon-components-react
carbon-icons,7.0.7,false,Previously pedigree reviewed,2,Apache-2.0,Apache-2.0,Approved,carbon-icons
caseless,0.12.0,false,Previously pedigree reviewed,2,Apache-2.0,Apache-2.0,Approved,caseless
chalk,2.4.2,false,Exempt - Version closely related to 2.4.0,2,MIT,MIT,Approved,chalk
chokidar,1.5.2,false,Previously pedigree reviewed,2,,MIT,Approved | Reference Only,dustjs-linkedin/node_modules/chokidar
chokidar,2.1.8,false,Exempt - Version closely related to 2.1.6,2,MIT,MIT,Approved,chokidar
chownr,1.1.1,false,Previously pedigree reviewed,2,ISC,ISC,Approved,fsevents/node_modules/chownr
chownr,1.1.3,false,Exempt - Version closely related to 1.1.1,2,ISC,ISC,Approved,chownr
chrome-trace-event,1.0.2,false,Exempt - Version closely related to 1.0.0,2,MIT UNKNOWN,MIT,Needs Review,chrome-trace-event
cipher-base,1.0.4,false,Exempt - Version closely related to 1.0.3,2,MIT,MIT,Approved,cipher-base
class-utils,0.3.6,false,Exempt - Version closely related to 0.3.5,2,MIT,MIT,Approved,class-utils
classnames,2.2.6,false,Previously pedigree reviewed,2,MIT,MIT,Approved,classnames
cli,1.0.1,false,Exempt - Version closely related to 1.0.0,2,MIT,MIT,Approved,cli
cliui,3.2.0,false,Previously pedigree reviewed,2,ISC,ISC,Approved,cliui
cliui,4.1.0,false,Previously pedigree reviewed,2,ISC,ISC,Approved,webpack-dev-server/node_modules/cliui
cliui,5.0.0,false,Exempt - Expected license matched,2,ISC,ISC,Approved,webpack-cli/node_modules/cliui
clone,1.0.4,false,Exempt - Expected license matched,2,MIT,MIT,Approved,clone
code-point-at,1.1.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,code-point-at
collection-visit,1.0.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,collection-visit
color-convert,1.9.3,false,Exempt - Version closely related to 1.9.0,2,MIT,MIT,Approved,color-convert
color-name,1.1.3,false,Exempt - Version closely related to 1.1.1,2,MIT,MIT,Approved,color-name
colors,1.4.0,true,New version and not exempt,,MIT UNKNOWN,MIT,Needs Review,colors
columnify,1.5.4,false,Previously pedigree reviewed,2,MIT,MIT,Approved,columnify
combined-stream,1.0.8,false,Exempt - Version closely related to 1.0.7,2,MIT,MIT,Approved,combined-stream
command-exists,1.2.8,false,Exempt - Version closely related to 1.2.2,2,MIT,MIT,Approved,command-exists
commander,2.20.3,false,Exempt - Version closely related to 2.20.0,2,MIT,MIT,Approved,commander
commondir,1.0.1,false,Previously pedigree reviewed,2,MIT,MIT,Approved,commondir
component-emitter,1.3.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,component-emitter
compressible,2.0.17,false,Exempt - Version closely related to 2.0.15,2,MIT,MIT,Approved,compressible
compression,1.7.4,false,Exempt - Version closely related to 1.7.3,2,MIT,MIT,Approved,compression
compression-webpack-plugin,3.0.0,false,Exempt - Expected license matched,2,MIT,MIT,Approved,compression-webpack-plugin
concat-map,0.0.1,false,Previously pedigree reviewed,2,MIT,MIT,Approved,concat-map
concat-stream,1.6.2,false,Exempt - Version closely related to 1.6.0,2,MIT,MIT,Approved,concat-stream
connect-history-api-fallback,1.6.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,connect-history-api-fallback
console-browserify,1.1.0,false,Previously pedigree reviewed,2,MIT,,Approved,console-browserify
console-control-strings,1.1.0,false,Previously pedigree reviewed,2,ISC,ISC,Approved,console-control-strings
consolidate,0.15.1,false,Previously pedigree reviewed,2,MIT,MIT,Approved,consolidate
constants-browserify,1.0.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,constants-browserify
content-disposition,0.5.2,false,Previously pedigree reviewed,2,MIT,MIT,Approved,express/node_modules/content-disposition
content-disposition,0.5.3,false,Exempt - Version closely related to 0.5.2,2,MIT,MIT,Approved,@kui-shell/proxy/app/node_modules/content-disposition
content-type,1.0.4,false,Previously pedigree reviewed,2,MIT,MIT,Approved,@kui-shell/proxy/app/node_modules/content-type
cookie,0.3.1,false,Previously pedigree reviewed,2,MIT,MIT,Approved,@kui-shell/proxy/app/node_modules/cookie
cookie,0.4.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,@kui-shell/proxy/app/node_modules/express/node_modules/cookie
cookie-parser,1.4.4,false,Exempt - Version closely related to 1.4.1,2,MIT,MIT,Approved,@kui-shell/proxy/app/node_modules/cookie-parser
cookie-signature,1.0.6,false,Previously pedigree reviewed,2,MIT,MIT,Approved,@kui-shell/proxy/app/node_modules/cookie-signature
copy-concurrently,1.0.5,false,Exempt - Version closely related to 1.0.3,2,ISC,ISC,Approved,copy-concurrently
copy-descriptor,0.1.1,false,Previously pedigree reviewed,2,MIT,MIT,Approved,copy-descriptor
core-util-is,1.0.2,false,Previously pedigree reviewed,2,MIT,MIT,Approved,core-util-is
cors,2.8.5,false,Exempt - Version closely related to 2.8.1,2,MIT,MIT,Approved,@kui-shell/proxy/app/node_modules/cors
create-ecdh,4.0.3,false,Exempt - Version closely related to 4.0.0,2,MIT,MIT,Approved,create-ecdh
create-hash,1.2.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,create-hash
create-hmac,1.1.7,false,Previously pedigree reviewed,2,MIT,MIT,Approved,create-hmac
cross-spawn,6.0.5,false,Previously pedigree reviewed,2,MIT,MIT,Approved,cross-spawn
crypto-browserify,3.12.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,crypto-browserify
css-loader,3.2.0,false,Exempt - Expected license matched,2,MIT,MIT,Approved,css-loader
cssesc,3.0.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,cssesc
cyclist,1.0.1,false,Exempt - Expected license matched,2,MIT,MIT,Approved,cyclist
dashdash,1.14.1,false,Exempt - Version closely related to 1.14.0,2,MIT UNKNOWN,MIT,Needs Review,dashdash
date-now,0.1.4,false,Previously pedigree reviewed,2,MIT,,Approved,date-now
debug,2.6.9,false,Previously pedigree reviewed,2,MIT,MIT,Approved,@kui-shell/proxy/app/node_modules/body-parser/node_modules/debug
debug,3.1.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,follow-redirects/node_modules/debug
debug,3.2.6,false,Exempt - Version closely related to 3.2.5,2,MIT,MIT,Approved,needle/node_modules/debug
debug,4.1.1,false,Exempt - Version closely related to 4.1.0,2,MIT,MIT,Approved,@kui-shell/proxy/app/node_modules/debug
decamelize,1.2.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,decamelize
decode-uri-component,0.2.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,decode-uri-component
decompress-response,4.2.1,false,Exempt - Expected license matched,2,MIT,MIT,Approved,decompress-response
deep-equal,1.1.0,false,Exempt - Expected license matched,2,MIT,MIT,Approved,deep-equal
deep-extend,0.6.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,deep-extend
default-gateway,4.2.0,false,Exempt - Expected license matched,2,BSD-2-Clause,BSD-2-Clause,Approved,default-gateway
defaults,1.0.3,false,Previously pedigree reviewed,2,MIT,MIT,Approved,defaults
define-properties,1.1.3,false,Exempt - Version closely related to 1.1.2,2,MIT,MIT,Approved,define-properties
define-property,0.2.5,false,Previously pedigree reviewed,2,MIT,MIT,Approved,class-utils/node_modules/define-property
define-property,1.0.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,base/node_modules/define-property
define-property,2.0.2,false,Previously pedigree reviewed,2,MIT,MIT,Approved,define-property
del,4.1.1,false,Previously pedigree reviewed,2,MIT,MIT,Approved,del
delayed-stream,1.0.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,delayed-stream
delegates,1.0.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,delegates
depd,1.1.2,false,Exempt - Version closely related to 1.1.0,2,MIT,MIT,Approved,@kui-shell/proxy/app/node_modules/depd
des.js,1.0.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,des.js
destroy,1.0.4,false,Previously pedigree reviewed,2,MIT,MIT,Approved,@kui-shell/proxy/app/node_modules/destroy
detect-file,1.0.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,detect-file
detect-libc,1.0.3,false,Exempt - Version closely related to 1.0.2,2,Apache-2.0,Apache-2.0,Approved,detect-libc
detect-node,2.0.4,false,Exempt - Version closely related to 2.0.3,2,MIT,ISC,Approved,detect-node
diffie-hellman,5.0.3,false,Exempt - Version closely related to 5.0.2,2,MIT,MIT,Approved,diffie-hellman
dns-equal,1.0.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,dns-equal
dns-packet,1.3.1,false,Previously pedigree reviewed,2,MIT,MIT,Approved,dns-packet
dns-txt,2.0.2,false,Previously pedigree reviewed,2,MIT,MIT,Approved,dns-txt
domain-browser,1.2.0,false,Previously pedigree reviewed,2,KEYWORD MIT UNKNOWN,MIT,Needs Review,domain-browser
downshift,1.31.16,false,Exempt - Version closely related to 1.31.14,2,MIT,MIT,Approved,downshift
duplexify,3.7.1,false,Previously pedigree reviewed,2,MIT,MIT,Approved,duplexify
dustjs-example-amd,1.0.0,false,Previously pedigree reviewed,2,,,No license information available,dustjs-linkedin/examples/amd
dustjs-example-commonjs,1.0.0,false,Previously pedigree reviewed,2,,,No license information available,dustjs-linkedin/examples/commonjs
dustjs-example-hoffman,1.0.0,false,Previously pedigree reviewed,2,,,No license information available,dustjs-linkedin/examples/streaming-hoffman
dustjs-example-simple,1.0.0,false,Previously pedigree reviewed,2,,,No license information available,dustjs-linkedin/examples/basic-node
dustjs-example-simple,unknown,true,New version and not exempt,,,,No license information available,dustjs-linkedin/examples/basic-browser
dustjs-example-streaming,1.0.0,false,Previously pedigree reviewed,2,,,No license information available,dustjs-linkedin/examples/streaming
dustjs-example-streaming-incremental,1.0.0,false,Previously pedigree reviewed,2,,,No license information available,dustjs-linkedin/examples/streaming-incremental
dustjs-linkedin,2.7.5,false,Previously pedigree reviewed,2,BSD-3-Clause MIT,MIT,Approved,dustjs-linkedin
ecc-jsbn,0.1.2,false,Exempt - Version closely related to 0.1.1,2,KEYWORD MIT Other-Approved UNKNOWN,MIT,Needs Review,ecc-jsbn
ee-first,1.1.1,false,Previously pedigree reviewed,2,MIT,MIT,Approved,@kui-shell/proxy/app/node_modules/ee-first
elliptic,6.5.1,false,Exempt - Version closely related to 6.5.0,2,MIT,MIT,Approved,elliptic
emoji-regex,7.0.3,false,Previously pedigree reviewed,2,MIT,MIT,Approved,emoji-regex
emojis-list,2.1.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,emojis-list
encodeurl,1.0.2,false,Previously pedigree reviewed,2,MIT,MIT,Approved,@kui-shell/proxy/app/node_modules/encodeurl
end-of-stream,1.4.4,false,Exempt - Version closely related to 1.4.0,2,MIT,MIT,Approved,end-of-stream
enhanced-resolve,4.1.0,false,Previously pedigree reviewed,2,MIT,,Approved,webpack-cli/node_modules/enhanced-resolve
enhanced-resolve,4.1.1,false,Exempt - Version closely related to 4.1.0,2,MIT,,Approved,enhanced-resolve
